,cell_line,demuxlet_cls,properly_sampled_cell,clean_cell,full_cell_index,cells_rare_gene_module,rare_cell,seed,candidate,cell_deviant_votes,dissolved,metacell,outlier,pre_cell_directs,cell_directs,pre_pile,pile,pre_candidate,pre_cell_deviant_votes,pre_dissolved,pre_metacell
Lib90_00038,HCC827,SNG,True,True,31,-1,False,8,5,0,False,4,False,0,0,-1,0,-1,0,False,-1
Lib90_00039,HCC827,SNG,True,True,32,-1,False,-1,23,0,False,21,False,0,0,-1,0,-1,0,False,-1
Lib90_00040,HCC827,SNG,True,True,33,-1,False,136,64,0,False,60,False,0,0,-1,0,-1,0,False,-1
Lib90_00042,HCC827,SNG,True,True,34,-1,False,39,123,0,False,118,False,0,0,-1,0,-1,0,False,-1
Lib90_00043,HCC827,SNG,True,True,35,-1,False,147,57,0,False,53,False,0,0,-1,0,-1,0,False,-1
Lib90_00044,HCC827,SNG,True,True,36,-1,False,39,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00045,HCC827,SNG,True,True,37,-1,False,79,30,0,False,26,False,0,0,-1,0,-1,0,False,-1
Lib90_00046,H838,SNG,True,True,38,-1,False,129,54,0,False,50,False,0,0,-1,0,-1,0,False,-1
Lib90_00047,HCC827,SNG,True,True,39,-1,False,31,5,0,False,4,False,0,0,-1,0,-1,0,False,-1
Lib90_00048,HCC827,SNG,True,True,40,-1,False,31,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00049,HCC827,SNG,True,True,41,-1,False,39,30,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00050,HCC827,SNG,True,True,42,-1,False,79,159,0,False,152,False,0,0,-1,0,-1,0,False,-1
Lib90_00051,HCC827,SNG,True,True,43,-1,False,31,92,0,False,87,False,0,0,-1,0,-1,0,False,-1
Lib90_00053,H1975,SNG,True,True,44,-1,False,69,142,0,False,135,False,0,0,-1,0,-1,0,False,-1
Lib90_00054,HCC827,SNG,True,True,45,-1,False,-1,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00055,H1975,SNG,True,True,46,-1,False,27,142,0,False,135,False,0,0,-1,0,-1,0,False,-1
Lib90_00056,H838,SNG,True,True,47,-1,False,2,158,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00057,H838,SNG,True,True,48,-1,False,56,146,0,False,139,False,0,0,-1,0,-1,0,False,-1
Lib90_00058,HCC827,SNG,True,True,49,-1,False,97,77,0,False,73,False,0,0,-1,0,-1,0,False,-1
Lib90_00059,HCC827,SNG,True,True,50,-1,False,93,77,0,False,73,False,0,0,-1,0,-1,0,False,-1
Lib90_00060,HCC827,SNG,True,True,51,-1,False,114,138,0,False,131,False,0,0,-1,0,-1,0,False,-1
Lib90_00061,HCC827,SNG,True,True,52,-1,False,31,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00063,HCC827,SNG,True,True,53,-1,False,39,58,0,False,54,False,0,0,-1,0,-1,0,False,-1
Lib90_00064,HCC827,SNG,True,True,54,-1,False,37,123,0,False,118,False,0,0,-1,0,-1,0,False,-1
Lib90_00065,HCC827,SNG,True,True,55,-1,False,93,139,0,False,132,False,0,0,-1,0,-1,0,False,-1
Lib90_00066,HCC827,SNG,True,True,56,-1,False,39,32,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00067,H838,SNG,True,True,57,-1,False,115,131,0,False,124,False,0,0,-1,0,-1,0,False,-1
Lib90_00068,HCC827,SNG,True,True,58,-1,False,79,159,0,False,152,False,0,0,-1,0,-1,0,False,-1
Lib90_00069,HCC827,SNG,True,True,59,-1,False,-1,123,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00070,H838,SNG,True,True,60,-1,False,-1,146,0,False,139,False,0,0,-1,0,-1,0,False,-1
Lib90_00071,HCC827,SNG,True,True,61,-1,False,-1,64,0,False,60,False,0,0,-1,0,-1,0,False,-1
Lib90_00072,HCC827,SNG,True,True,62,-1,False,147,134,0,False,127,False,0,0,-1,0,-1,0,False,-1
Lib90_00074,H1975,SNG,True,True,63,-1,False,131,9,0,False,8,False,0,0,-1,0,-1,0,False,-1
Lib90_00075,HCC827,SNG,True,True,64,-1,False,72,23,0,False,21,False,0,0,-1,0,-1,0,False,-1
Lib90_00076,HCC827,SNG,True,True,65,-1,False,8,152,0,False,145,False,0,0,-1,0,-1,0,False,-1
Lib90_00077,HCC827,SNG,True,True,66,-1,False,63,157,0,False,150,False,0,0,-1,0,-1,0,False,-1
Lib90_00079,H2228,SNG,True,True,67,-1,False,151,81,0,False,77,False,0,0,-1,0,-1,0,False,-1
Lib90_00080,H1975,SNG,True,True,68,-1,False,27,20,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00081,HCC827,SNG,True,True,69,-1,False,136,159,0,False,152,False,0,0,-1,0,-1,0,False,-1
Lib90_00082,H1975,SNG,True,True,70,-1,False,137,149,0,False,142,False,0,0,-1,0,-1,0,False,-1
Lib90_00083,HCC827,SNG,True,True,71,-1,False,139,159,0,False,152,False,0,0,-1,0,-1,0,False,-1
Lib90_00084,HCC827,SNG,True,True,72,-1,False,79,5,0,False,4,False,0,0,-1,0,-1,0,False,-1
Lib90_00085,HCC827,SNG,True,True,73,-1,False,155,156,0,False,149,False,0,0,-1,0,-1,0,False,-1
Lib90_00086,HCC827,SNG,True,True,74,-1,False,8,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00087,HCC827,SNG,True,True,75,-1,False,8,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00088,H838,SNG,True,True,76,-1,False,9,147,0,False,140,False,0,0,-1,0,-1,0,False,-1
Lib90_00089,HCC827,SNG,True,True,77,-1,False,37,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00090,H1975,SNG,True,True,78,-1,False,26,74,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00091,HCC827,SNG,True,True,79,-1,False,39,32,0,False,28,False,0,0,-1,0,-1,0,False,-1
Lib90_00092,H838,SNG,True,True,80,-1,False,0,0,0,False,0,False,0,0,-1,0,-1,0,False,-1
Lib90_00093,HCC827,SNG,True,True,81,-1,False,20,73,0,False,69,False,0,0,-1,0,-1,0,False,-1
Lib90_00094,H838,SNG,True,True,82,-1,False,129,155,0,False,148,False,0,0,-1,0,-1,0,False,-1
Lib90_00095,H1975,SNG,True,True,83,-1,False,27,107,2,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00096,H1975,SNG,True,True,84,-1,False,74,20,0,False,18,False,0,0,-1,0,-1,0,False,-1
Lib90_00098,HCC827,SNG,True,True,85,-1,False,31,152,0,False,145,False,0,0,-1,0,-1,0,False,-1
Lib90_00099,H838,SNG,True,True,86,-1,False,11,104,0,False,99,False,0,0,-1,0,-1,0,False,-1
Lib90_00100,H1975,SNG,True,True,87,-1,False,24,71,0,False,67,False,0,0,-1,0,-1,0,False,-1
Lib90_00102,HCC827,SNG,True,True,88,-1,False,108,112,0,False,107,False,0,0,-1,0,-1,0,False,-1
Lib90_00103,HCC827,SNG,True,True,89,-1,False,81,57,0,False,53,False,0,0,-1,0,-1,0,False,-1
Lib90_00104,H2228,SNG,True,True,90,-1,False,59,21,0,False,19,False,0,0,-1,0,-1,0,False,-1
Lib90_00105,H838,SNG,True,True,91,-1,False,9,104,0,False,99,False,0,0,-1,0,-1,0,False,-1
Lib90_00106,H838,SNG,True,True,92,-1,False,1,131,0,False,124,False,0,0,-1,0,-1,0,False,-1
Lib90_00107,H1975,SNG,True,True,93,-1,False,69,20,0,False,18,False,0,0,-1,0,-1,0,False,-1
Lib90_00108,H1975,SNG,True,True,94,-1,False,24,143,0,False,136,False,0,0,-1,0,-1,0,False,-1
Lib90_00109,HCC827,SNG,True,True,95,-1,False,93,77,0,False,73,False,0,0,-1,0,-1,0,False,-1
Lib90_00110,HCC827,SNG,True,True,96,-1,False,147,64,0,False,60,False,0,0,-1,0,-1,0,False,-1
Lib90_00112,H838,SNG,True,True,97,-1,False,51,42,0,False,38,False,0,0,-1,0,-1,0,False,-1
Lib90_00113,HCC827,SNG,True,True,98,-1,False,96,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00114,H838,SNG,True,True,99,-1,False,56,146,0,False,139,False,0,0,-1,0,-1,0,False,-1
Lib90_00115,HCC827,SNG,True,True,100,-1,False,63,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00117,H838,SNG,True,True,101,-1,False,-1,42,0,False,38,False,0,0,-1,0,-1,0,False,-1
Lib90_00119,HCC827,SNG,True,True,102,-1,False,8,123,0,False,118,False,0,0,-1,0,-1,0,False,-1
Lib90_00120,H838,SNG,True,True,103,-1,False,0,0,0,False,0,False,0,0,-1,0,-1,0,False,-1
Lib90_00121,HCC827,SNG,True,True,104,-1,False,-1,32,0,False,28,False,0,0,-1,0,-1,0,False,-1
Lib90_00122,H838,SNG,True,True,105,-1,False,0,0,0,False,0,False,0,0,-1,0,-1,0,False,-1
Lib90_00123,H838,SNG,True,True,106,-1,False,58,52,0,False,48,False,0,0,-1,0,-1,0,False,-1
Lib90_00124,H1975,SNG,True,True,107,-1,False,117,148,0,False,141,False,0,0,-1,0,-1,0,False,-1
Lib90_00126,H838,SNG,True,True,108,-1,False,141,117,0,False,112,False,0,0,-1,0,-1,0,False,-1
Lib90_00127,H1975,SNG,True,True,109,-1,False,-1,142,0,False,135,False,0,0,-1,0,-1,0,False,-1
Lib90_00128,HCC827,SNG,True,True,110,-1,False,8,156,0,False,149,False,0,0,-1,0,-1,0,False,-1
Lib90_00129,HCC827,SNG,True,True,111,-1,False,-1,23,0,False,21,False,0,0,-1,0,-1,0,False,-1
Lib90_00130,H2228,SNG,True,True,112,-1,False,28,27,0,False,25,False,0,0,-1,0,-1,0,False,-1
Lib90_00132,H1975,SNG,True,True,113,-1,False,13,9,0,False,8,False,0,0,-1,0,-1,0,False,-1
Lib90_00133,HCC827,SNG,True,True,114,-1,False,114,138,0,False,131,False,0,0,-1,0,-1,0,False,-1
Lib90_00135,HCC827,SNG,True,True,115,-1,False,79,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00136,H1975,SNG,True,True,116,-1,False,137,113,0,False,108,False,0,0,-1,0,-1,0,False,-1
Lib90_00137,H838,SNG,True,True,117,-1,False,17,158,0,False,151,False,0,0,-1,0,-1,0,False,-1
Lib90_00138,H838,SNG,True,True,118,-1,False,17,158,0,False,151,False,0,0,-1,0,-1,0,False,-1
Lib90_00139,H838,SNG,True,True,119,-1,False,65,104,0,False,99,False,0,0,-1,0,-1,0,False,-1
Lib90_00140,HCC827,SNG,True,True,120,-1,False,108,102,0,False,97,False,0,0,-1,0,-1,0,False,-1
Lib90_00141,H838,SNG,True,True,121,-1,False,51,104,0,False,99,False,0,0,-1,0,-1,0,False,-1
Lib90_00142,H2228,SNG,True,True,122,-1,False,80,151,0,False,144,False,0,0,-1,0,-1,0,False,-1
Lib90_00143,HCC827,SNG,True,True,123,-1,False,147,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00145,HCC827,SNG,True,True,124,-1,False,79,152,0,False,145,False,0,0,-1,0,-1,0,False,-1
Lib90_00146,H838,SNG,True,True,125,-1,False,140,158,0,False,151,False,0,0,-1,0,-1,0,False,-1
Lib90_00147,HCC827,SNG,True,True,126,-1,False,93,139,0,False,132,False,0,0,-1,0,-1,0,False,-1
Lib90_00148,H1975,SNG,True,True,127,-1,False,47,113,0,False,108,False,0,0,-1,0,-1,0,False,-1
Lib90_00149,HCC827,SNG,True,True,128,-1,False,72,159,0,False,152,False,0,0,-1,0,-1,0,False,-1
Lib90_00150,H838,SNG,True,True,129,-1,False,3,35,0,False,31,False,0,0,-1,0,-1,0,False,-1
Lib90_00151,H838,SNG,True,True,130,-1,False,140,158,0,False,151,False,0,0,-1,0,-1,0,False,-1
Lib90_00152,H1975,SNG,True,True,131,-1,False,27,20,0,False,18,False,0,0,-1,0,-1,0,False,-1
Lib90_00153,HCC827,SNG,True,True,132,-1,False,114,102,0,False,97,False,0,0,-1,0,-1,0,False,-1
Lib90_00154,H838,SNG,True,True,133,-1,False,115,158,0,False,151,False,0,0,-1,0,-1,0,False,-1
Lib90_00155,H838,SNG,True,True,134,-1,False,127,104,0,False,99,False,0,0,-1,0,-1,0,False,-1
Lib90_00156,H838,SNG,True,True,135,-1,False,46,54,0,False,50,False,0,0,-1,0,-1,0,False,-1
Lib90_00158,H838,SNG,True,True,136,-1,False,0,0,0,False,0,False,0,0,-1,0,-1,0,False,-1
Lib90_00159,H838,SNG,True,True,137,-1,False,65,42,0,False,38,False,0,0,-1,0,-1,0,False,-1
Lib90_00160,A549,SNG,True,True,138,-1,False,19,14,0,False,13,False,0,0,-1,0,-1,0,False,-1
Lib90_00161,H2228,SNG,True,True,139,-1,False,102,27,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00162,HCC827,SNG,True,True,140,-1,False,142,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00163,HCC827,SNG,True,True,141,-1,False,125,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00164,HCC827,SNG,True,True,142,-1,False,39,32,0,False,28,False,0,0,-1,0,-1,0,False,-1
Lib90_00165,H2228,SNG,True,True,143,-1,False,-1,105,0,False,100,False,0,0,-1,0,-1,0,False,-1
Lib90_00166,HCC827,SNG,True,True,144,-1,False,8,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00167,H838,SNG,True,True,145,-1,False,-1,47,0,False,43,False,0,0,-1,0,-1,0,False,-1
Lib90_00168,HCC827,SNG,True,True,146,-1,False,125,30,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00169,H838,SNG,True,True,147,-1,False,-1,42,0,False,38,False,0,0,-1,0,-1,0,False,-1
Lib90_00170,H838,SNG,True,True,148,-1,False,4,155,0,False,148,False,0,0,-1,0,-1,0,False,-1
Lib90_00171,H1975,SNG,True,True,149,-1,False,27,142,0,False,135,False,0,0,-1,0,-1,0,False,-1
Lib90_00172,H838,SNG,True,True,150,-1,False,17,158,0,False,151,False,0,0,-1,0,-1,0,False,-1
Lib90_00173,H1975,SNG,True,True,151,-1,False,52,43,4,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00175,H1975,SNG,True,True,152,-1,False,47,140,3,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00177,H838,SNG,True,True,153,-1,False,9,147,0,False,140,False,0,0,-1,0,-1,0,False,-1
Lib90_00178,H1975,SNG,True,True,154,-1,False,27,107,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00179,H1975,SNG,True,True,155,-1,False,117,20,0,False,18,False,0,0,-1,0,-1,0,False,-1
Lib90_00180,H838,SNG,True,True,156,-1,False,140,52,0,False,48,False,0,0,-1,0,-1,0,False,-1
Lib90_00181,H838,SNG,True,True,157,-1,False,51,104,0,False,99,False,0,0,-1,0,-1,0,False,-1
Lib90_00183,H838,SNG,True,True,158,-1,False,17,153,0,False,146,False,0,0,-1,0,-1,0,False,-1
Lib90_00184,HCC827,SNG,True,True,159,-1,False,125,139,0,False,132,False,0,0,-1,0,-1,0,False,-1
Lib90_00186,H1975,SNG,True,True,160,-1,False,74,142,2,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00187,H838,SNG,True,True,161,-1,False,65,42,0,False,38,False,0,0,-1,0,-1,0,False,-1
Lib90_00188,H838,SNG,True,True,162,-1,False,0,0,0,False,0,False,0,0,-1,0,-1,0,False,-1
Lib90_00189,A549,SNG,True,True,163,-1,False,61,8,0,False,7,False,0,0,-1,0,-1,0,False,-1
Lib90_00190,H838,SNG,True,True,164,-1,False,140,52,0,False,48,False,0,0,-1,0,-1,0,False,-1
Lib90_00191,HCC827,SNG,True,True,165,-1,False,75,30,0,False,26,False,0,0,-1,0,-1,0,False,-1
Lib90_00192,HCC827,SNG,True,True,166,-1,False,93,139,0,False,132,False,0,0,-1,0,-1,0,False,-1
Lib90_00193,H2228,SNG,True,True,167,-1,False,62,144,0,False,137,False,0,0,-1,0,-1,0,False,-1
Lib90_00194,HCC827,SNG,True,True,168,-1,False,97,152,0,False,145,False,0,0,-1,0,-1,0,False,-1
Lib90_00195,H838,SNG,True,True,169,-1,False,67,117,0,False,112,False,0,0,-1,0,-1,0,False,-1
Lib90_00196,H2228,SNG,True,True,170,-1,False,151,63,0,False,59,False,0,0,-1,0,-1,0,False,-1
Lib90_00197,HCC827,SNG,True,True,171,-1,False,63,157,0,False,150,False,0,0,-1,0,-1,0,False,-1
Lib90_00198,H2228,SNG,True,True,172,-1,False,55,110,0,False,105,False,0,0,-1,0,-1,0,False,-1
Lib90_00200,H2228,SNG,True,True,173,-1,False,102,110,0,False,105,False,0,0,-1,0,-1,0,False,-1
Lib90_00202,H1975,SNG,True,True,174,-1,False,117,43,0,False,39,False,0,0,-1,0,-1,0,False,-1
Lib90_00203,H838,SNG,True,True,175,-1,False,65,52,0,False,48,False,0,0,-1,0,-1,0,False,-1
Lib90_00204,HCC827,SNG,True,True,176,-1,False,125,64,0,False,60,False,0,0,-1,0,-1,0,False,-1
Lib90_00206,H838,SNG,True,True,177,-1,False,115,154,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00207,H838,SNG,True,True,178,-1,False,9,147,0,False,140,False,0,0,-1,0,-1,0,False,-1
Lib90_00208,HCC827,SNG,True,True,179,-1,False,97,23,0,False,21,False,0,0,-1,0,-1,0,False,-1
Lib90_00209,HCC827,SNG,True,True,180,-1,False,125,139,0,False,132,False,0,0,-1,0,-1,0,False,-1
Lib90_00210,HCC827,SNG,True,True,181,-1,False,79,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00211,H1975,SNG,True,True,182,-1,False,88,140,0,False,133,False,0,0,-1,0,-1,0,False,-1
Lib90_00212,HCC827,SNG,True,True,183,-1,False,139,115,0,False,110,False,0,0,-1,0,-1,0,False,-1
Lib90_00213,H838,SNG,True,True,184,-1,False,42,155,0,False,148,False,0,0,-1,0,-1,0,False,-1
Lib90_00214,H1975,SNG,True,True,185,-1,False,69,107,0,False,102,False,0,0,-1,0,-1,0,False,-1
Lib90_00215,HCC827,SNG,True,True,186,-1,False,8,156,0,False,149,False,0,0,-1,0,-1,0,False,-1
Lib90_00216,H2228,SNG,True,True,187,-1,False,76,151,0,False,144,False,0,0,-1,0,-1,0,False,-1
Lib90_00217,H1975,SNG,True,True,188,-1,False,74,20,0,False,18,False,0,0,-1,0,-1,0,False,-1
Lib90_00218,H838,SNG,True,True,189,-1,False,156,117,0,False,112,False,0,0,-1,0,-1,0,False,-1
Lib90_00219,H1975,SNG,True,True,190,-1,False,88,140,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00220,HCC827,SNG,True,True,191,-1,False,6,32,0,False,28,False,0,0,-1,0,-1,0,False,-1
Lib90_00224,HCC827,SNG,True,True,192,-1,False,8,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00226,HCC827,SNG,True,True,193,-1,False,37,77,0,False,73,False,0,0,-1,0,-1,0,False,-1
Lib90_00227,HCC827,SNG,True,True,194,-1,False,31,102,0,False,97,False,0,0,-1,0,-1,0,False,-1
Lib90_00228,H838,SNG,True,True,195,-1,False,115,129,0,False,123,False,0,0,-1,0,-1,0,False,-1
Lib90_00229,H1975,SNG,True,True,196,-1,False,27,143,0,False,136,False,0,0,-1,0,-1,0,False,-1
Lib90_00231,H1975,SNG,True,True,197,-1,False,69,143,0,False,136,False,0,0,-1,0,-1,0,False,-1
Lib90_00232,HCC827,SNG,True,True,198,-1,False,-1,138,0,False,131,False,0,0,-1,0,-1,0,False,-1
Lib90_00233,HCC827,SNG,True,True,199,-1,False,37,30,0,False,26,False,0,0,-1,0,-1,0,False,-1
Lib90_00235,H838,SNG,True,True,200,-1,False,127,104,0,False,99,False,0,0,-1,0,-1,0,False,-1
Lib90_00236,H1975,SNG,True,True,201,-1,False,117,148,0,False,141,False,0,0,-1,0,-1,0,False,-1
Lib90_00237,H1975,SNG,True,True,202,-1,False,130,20,0,False,18,False,0,0,-1,0,-1,0,False,-1
Lib90_00238,H838,SNG,True,True,203,-1,False,0,0,0,False,0,False,0,0,-1,0,-1,0,False,-1
Lib90_00239,H838,SNG,True,True,204,-1,False,65,52,0,False,48,False,0,0,-1,0,-1,0,False,-1
Lib90_00240,HCC827,SNG,True,True,205,-1,False,8,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00241,H2228,SNG,True,True,206,-1,False,99,21,0,False,19,False,0,0,-1,0,-1,0,False,-1
Lib90_00242,H1975,SNG,True,True,207,-1,False,33,26,0,False,24,False,0,0,-1,0,-1,0,False,-1
Lib90_00243,H838,SNG,True,True,208,-1,False,42,154,0,False,147,False,0,0,-1,0,-1,0,False,-1
Lib90_00245,H1975,SNG,True,True,209,-1,False,45,140,0,False,133,False,0,0,-1,0,-1,0,False,-1
Lib90_00246,HCC827,SNG,True,True,210,-1,False,72,23,0,False,21,False,0,0,-1,0,-1,0,False,-1
Lib90_00247,H1975,SNG,True,True,211,-1,False,74,149,0,False,142,False,0,0,-1,0,-1,0,False,-1
Lib90_00248,H838,SNG,True,True,212,-1,False,156,93,0,False,88,False,0,0,-1,0,-1,0,False,-1
Lib90_00249,HCC827,SNG,True,True,213,-1,False,8,157,0,False,150,False,0,0,-1,0,-1,0,False,-1
Lib90_00250,H838,SNG,True,True,214,-1,False,17,153,0,False,146,False,0,0,-1,0,-1,0,False,-1
Lib90_00251,H1975,SNG,True,True,215,-1,False,69,20,0,False,18,False,0,0,-1,0,-1,0,False,-1
Lib90_00252,H838,SNG,True,True,216,-1,False,65,117,0,False,112,False,0,0,-1,0,-1,0,False,-1
Lib90_00253,H838,SNG,True,True,217,-1,False,42,141,0,False,134,False,0,0,-1,0,-1,0,False,-1
Lib90_00254,H1975,SNG,True,True,218,-1,False,47,140,0,False,133,False,0,0,-1,0,-1,0,False,-1
Lib90_00255,H1975,SNG,True,True,219,-1,False,45,76,0,False,72,False,0,0,-1,0,-1,0,False,-1
Lib90_00256,HCC827,SNG,True,True,220,-1,False,155,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00257,H838,SNG,True,True,221,-1,False,-1,117,0,False,112,False,0,0,-1,0,-1,0,False,-1
Lib90_00259,H838,SNG,True,True,222,-1,False,36,66,0,False,62,False,0,0,-1,0,-1,0,False,-1
Lib90_00260,HCC827,SNG,True,True,223,-1,False,147,156,0,False,149,False,0,0,-1,0,-1,0,False,-1
Lib90_00261,H838,SNG,True,True,224,-1,False,157,2,3,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00262,HCC827,SNG,True,True,225,-1,False,-1,115,0,False,110,False,0,0,-1,0,-1,0,False,-1
Lib90_00263,HCC827,SNG,True,True,226,-1,False,37,123,0,False,118,False,0,0,-1,0,-1,0,False,-1
Lib90_00264,H838,SNG,True,True,227,-1,False,1,39,0,False,35,False,0,0,-1,0,-1,0,False,-1
Lib90_00265,HCC827,SNG,True,True,228,-1,False,114,102,0,False,97,False,0,0,-1,0,-1,0,False,-1
Lib90_00266,H838,SNG,True,True,229,-1,False,51,47,0,False,43,False,0,0,-1,0,-1,0,False,-1
Lib90_00267,H838,SNG,True,True,230,-1,False,17,153,0,False,146,False,0,0,-1,0,-1,0,False,-1
Lib90_00268,H838,SNG,True,True,231,-1,False,11,52,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00269,HCC827,SNG,True,True,232,-1,False,90,73,0,False,69,False,0,0,-1,0,-1,0,False,-1
Lib90_00270,H2228,SNG,True,True,233,-1,False,-1,105,0,False,100,False,0,0,-1,0,-1,0,False,-1
Lib90_00271,H1975,SNG,True,True,234,-1,False,27,107,0,False,102,False,0,0,-1,0,-1,0,False,-1
